SMILES,Shifts,Atom#,Solvent
C1(=C(C(=C(C2=C1C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])C3=C(C(=C(C(=C3[H])[H])Cl)[H])[H])C(F)(F)F)[H],['-57.03'],"[['19', '20', '21']]",CDCl3
C1(=C(C(=C(C2=C1C(C(C2([H])[H])(C(=O)OC(C([H])([H])[H])([H])[H])C(OC(C([H])([H])[H])([H])[H])=O)([H])[H])[H])C3=C(C(=C(C(=C3[H])[H])Cl)[H])[H])C(F)(F)F)[H],['-57.02'],"[['18', '19', '20']]",CDCl3
C(C#CC(OC#C[H])(C([H])([H])[H])C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])(F)(F)[H],['-106.68'],"[['7', '8']]",CDCl3
C(C#CC(OC#C[H])(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])(F)(F)F,['-50.83'],"[['6', '7', '8']]",CDCl3
C=1(C2=C(C(=C(N1)C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])C(OC2(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C([H])([H])[H])([H])[H])C(F)(F)F,['-63.49'],"[['8', '9', '10']]",CDCl3
C(=C(C(F)(F)OC1=C(C(=C(C(=C1[H])[H])[H])[H])[H])F)(F)F,"['-187.4', '-103.5', '-90.5', '-70.1']","[['7'], ['5'], ['6'], ['8', '9']]",CDCl3
ClC(C(OF)(F)F)(Cl)F,"['-93.7', '-71.8', '141.6']","[['7', '8'], ['9'], ['6']]",CDCl3
C(C(OF)(F)F)(Cl)(Cl)Cl,"['-91.6', '141.8']","[['5', '6'], ['4']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])[N+]([O-])=O)[H])[N+]([O-])=O)OC(C(=C(F)F)F)(F)F,"['-191.0', '-103.7', '-91.0', '-70.0']","[['19'], ['20'], ['21'], ['17', '18']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])[N+](=O)[O-])[H])[H])OC(C(=C(F)F)F)(F)F,"['-189.4', '-102.5', '-91.2', '-70.1']","[['16'], ['17'], ['18'], ['14', '15']]",CDCl3
FC(C(F)(F)OC(C(=C(F)F)F)(F)F)(F)F,"['-189.3', '-101.0', '-87.5', '-86.0', '-84.3', '-69.5']","[['14'], ['15'], ['16'], ['10', '11'], ['1', '8', '9'], ['12', '13']]",CDCl3
FC(F)(F)OC(C(=C(F)F)F)(F)F,"['-190.3', '-101.3', '-87.8', '-71.7', '-53.5']","[['11'], ['13'], ['12'], ['9', '10'], ['1', '7', '8']]",CDCl3
C(F)(F)(OC(C(=C(F)F)F)(F)F)C(C(F)(F)F)(F)F,"['-192.5', '-130.2', '-103.1', '-89.7', '-84.7', '-81.5', '-71.5']","[['10'], ['15', '16'], ['12'], ['11'], ['6', '7'], ['17', '18', '19'], ['8', '9']]",CDCl3
FS(C(C(F)(F)OC(C(F)=C(F)F)(F)F)(F)F)(=O)=O,"['-190.0', '-111.0', '-103.0', '-90.0', '-81.0', '-70.0', '46.0']","[['16'], ['10', '11'], ['18'], ['19'], ['12', '13'], ['14', '15'], ['1']]",CDCl3
C(=C(C(F)(F)OOC(C(=C(F)F)F)(F)F)F)(F)F,"['-188.8', '-104.3', '-89.5', '-81.4']","[['11', '16'], ['9', '18'], ['10', '17'], ['12', '13', '14', '15']]",CDCl3
O(C(C(C(=O)O[H])(F)[H])=O)[H],['-192.2'],[['7']],CDCl3
C(=C(C(OOC(C(=C(F)F)F)=O)=O)F)(F)F,"['-186.4', '-92.6', '-80.6']","[['11', '14'], ['9', '16'], ['10', '15']]",CDCl3
C(=C(C(=O)O[H])F)(F)F,"['-182.2', '-93.5', '-82.9']","[['7'], ['6'], ['8']]",CDCl3
O(C(C(C(=O)OO[H])(F)[H])=O)[H],['-191.7'],[['8']],CDCl3
FC(C(C(=O)OO[H])(F)[H])(F)F,"['-200.6', '-86.3']","[['8'], ['1', '7', '10']]",CDCl3
FC(=C(C(=O)OO[H])F)F,"['-182.4', '-93.1', '-82.3']","[['7'], ['1'], ['6']]",CDCl3
IC(C(=C(F)F)F)(F)F,"['-175.0', '-102.0', '-92.0', '-48.0']","[['7'], ['9'], ['8'], ['5', '6']]",CDCl3
IC(C(I)(F)F)(F)F,['-54.0'],"[['5', '6', '7', '8']]",CDCl3
IC(C(C(C(I)(F)F)(F)F)(F)F)(F)F,"['-112.5', '-59.0']","[['8', '9', '12', '13'], ['7', '10', '11', '14']]",CDCl3
IC(C(C(C(C(C(F)(F)I)(F)F)(F)F)(F)F)(F)F)(F)F,"['-121.5', '-113.5', '-59.0']","[['11', '12', '17', '18'], ['10', '13', '16', '19'], ['9', '14', '15', '20']]",CDCl3
C(C(C(C(C(C(F)(F)I)(F)F)(F)F)(F)F)(F)F)(F)(F)C(C(F)(F)I)(F)F,"['-122.5', '-121.5', '-113.5', '-59.0']","[['10', '13', '14', '17'], ['9', '18', '23', '24'], ['8', '19', '25', '26'], ['10', '13', '14', '17']]",CDCl3
C(C(C(C(F)(I)C(F)(F)F)(F)F)(F)F)(F)(F)C(C(F)(F)I)(F)F,"['-145.0', '-122.0', '-120.5', '-113.0', '-108.0', '-73.0', '-59.0']","[['12'], ['7', '10'], ['8', '9'], ['16', '17'], ['6', '11'], ['21', '22', '23'], ['18', '19']]",CDCl3
C(C(C(C(F)(C(F)(F)F)C(F)(F)I)(F)F)(F)F)(F)(F)C(F)(F)I,"['-162.0', '-120.5', '-113.0', '-108.0', '-70.0', '-59.0', '-50.0']","[['12'], ['7', '10'], ['8', '9'], ['6', '11'], ['18', '19', '20'], ['15', '16'], ['21', '22']]",CDCl3
C(C(C(C(C(C(F)(I)C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)C(C(F)(I)C(F)(F)F)(F)F,"['-144.0', '-122.0', '-120.0', '-107.0', '-74.0']","[['19', '26'], ['11', '12', '15', '16'], ['10', '13', '14', '17'], ['9', '18', '23', '24'], ['27', '28', '29', '30', '31', '32']]",CDCl3
IC(C(C(C(C(C(C(C(F)(I)C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F,"['-162.0', '-144.0', '-121.0', '-108.0', '-74.0', '-70.0', '-50.0']","[['16'], ['27'], ['18', '19', '20', '23', '24', '25'], ['17', '21', '22', '26'], ['30', '31', '32'], ['13', '14', '15'], ['10', '11']]",CDCl3
C(C(C(C(C(C(F)(I)C(F)(F)F)(F)F)(F)C(F)(F)F)(F)F)(F)F)(F)(F)C(C(F)(F)I)(F)F,"['-185.0', '-143.0', '-121.0', '-113.0', '-108.0', '-105.0', '-74.0', '-71.0', '-59.0']","[['17'], ['19'], ['12', '13', '14', '15'], ['23', '24'], ['11', '16'], ['9', '18'], ['30', '31', '32'], ['27', '28', '29'], ['25', '26']]",CDCl3
FC(=C(C(N=[N+]=[N-])(F)F)F)F,"['-190.0', '-105.0', '-92.5', '-76.0']","[['10'], ['1'], ['11'], ['8', '9']]",CDCl3
N(=O)F,['478.0'],[['3']],CDCl3
N(=O)F,['476.0'],[['3']],Unreported
N(=O)(F)(F)F,['365.7'],"[['3', '4', '5']]",CDCl3
C(=C(C(Cl)(F)F)F)(F)F,"['-186.5', '-104.5', '-93.0', '-77.0']","[['7'], ['8'], ['9'], ['5', '6']]",CDCl3
C(=C(C(F)(F)Br)F)(F)F,"['-186.0', '-106.3', '-96.0', '-58.2']","[['7'], ['8'], ['9'], ['5', '6']]",CDCl3
C(C(C(F)(F)F)(F)C(C(F)(F)F)(F)OC(C(=C(F)F)F)(F)F)(F)(F)F,"['-189.0', '-182.0', '-133.2', '-104.4', '-92.0', '-70.0', '-67.6']","[['23'], ['7'], ['20'], ['25'], ['24'], ['4', '5', '6', '8', '9', '10', '17', '18', '19'], ['21', '22']]",CDCl3
FC(C(C(=O)OOC(C(C(F)(F)F)(F)[H])=O)(F)[H])(F)F,"['-204.6', '-86.9']","[['12', '16'], ['1', '10', '11', '17', '18', '19']]",CDCl3
O(C(C(C(=O)OOC(C(C(=O)O[H])(F)[H])=O)(F)[H])=O)[H],['-195.2'],"[['11', '17']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])Br)[H])[H])OC(F)=C(F)F,"['-134.9', '-126.7', '-119.8']","[['10'], ['12'], ['13']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])Br)[H])[H])OC(F)(F)C(F)(F)Br,"['-86.6', '-68.58']","[['10', '11'], ['13', '14']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])[Si](C([H])([H])[H])(C([H])([H])[H])[H])[H])[H])OC(F)=C(F)F,"['-132.9', '-125.8', '-119.0']","[['10'], ['12'], ['13']]",CDCl3
C(C(Cl)(Cl)[H])(F)(Cl)Cl,['-61.333'],[['8']],CDCl3
C(F)(F)([H])[H],['-148.6'],"[['3', '4']]",CDCl3
C(F)(F)(Cl)[H],['-71.84'],"[['3', '4']]",CDCl3
C(F)(Cl)([H])Cl,['-80.88'],[['4']],CDCl3
C(C(F)([H])[H])(F)([H])[H],['-224.9'],"[['3', '4']]",CDCl3
C(C(F)([H])[H])(F)(F)[H],"['-240.9', '-128.54']","[['3'], ['4', '5']]",CDCl3
C(C(F)([H])[H])(F)(F)F,"['-244.0', '-78.5']","[['3'], ['4', '5', '6']]",CDCl3
C(C([H])([H])[H])(F)(F)[H],['-112.9'],"[['5', '6']]",CDCl3
C(C([H])(F)F)(F)(F)[H],['-138.0'],"[['3', '5', '6', '7']]",CDCl3
C(C([H])([H])[H])(F)(F)F,['-65.0'],"[['4', '5', '6']]",CDCl3
C(C([H])([H])[H])(F)(F)F,['-65.0'],"[['4', '5', '6']]",neat
C(C([H])([H])Cl)(F)(F)F,['-72.1'],"[['3', '4', '5']]",CDCl3
C(C(F)(F)F)(F)(F)F,['-88.2'],"[['3', '4', '5', '6', '7', '8']]",CDCl3
C(C(F)(F)F)(F)(F)F,['-89.06'],"[['3', '4', '5', '6', '7', '8']]",Unknown
C(C(F)(F)F)(F)=C(F)[H],"['-158.0', '-155.9', '-72.2']","[['4'], ['8'], ['5', '6', '7']]",CDCl3
C(C(F)(F)F)(F)=C(F)[H],"['-180.9', '-167.1', '-69.3']","[['4'], ['8'], ['5', '6', '7']]",CDCl3
C(C(F)(F)F)(=C(F)[H])[H],"['-119.1', '-61.5']","[['7'], ['4', '5', '6']]",CDCl3
C(C(F)(F)F)(=C(F)[H])[H],"['-110.3', '-58.3']","[['8'], ['4', '5', '6']]",CDCl3
C1(=C(C(=C(C(=C1F)[H])[N+]([O-])=O)[H])F)F,"['-151.1', '-131.5']","[['7'], ['11', '12']]",CDCl3
BrC(F)(F)F,['-17.99'],"[['3', '4', '5']]",CDCl3
BrC(F)(F)F,['-20.6'],"[['3', '4', '5']]",neat
BrC(F)(F)Cl,['0.01'],"[['4', '5']]",CDCl3
FC(C(C(Cl)(Br)Br)(F)F)(F)F,"['-109.37', '-73.88']","[['6', '7'], ['1', '8', '9']]",CDCl3
FC(C(C(Br)(Br)Br)(F)F)(F)F,"['-107.5', '-73.14']","[['6', '7'], ['1', '8', '9']]",CDCl3
FC(C(C(Br)(F)F)(Br)Br)(F)F,"['-68.65', '-50.82']","[['1', '8', '9'], ['10', '11']]",CDCl3
BrC(C(C(Cl)(Cl)F)(F)F)(F)F,"['-110.41', '-70.54', '-59.82']","[['6', '7'], ['5'], ['8', '9']]",CDCl3
C(=C([H])[H])(C(F)(F)F)F,"['-124.33', '-73.34']","[['4'], ['5', '6', '7']]",CDCl3
C(C(C(C(C(C(C(C(OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],['-71.4'],"[['12', '13', '14', '17', '18', '19', '20', '21', '22']]",CDCl3
C(C(C(F)(F)F)=O)(F)(F)F,['-84.6'],"[['5', '6', '7', '8', '9', '10']]",CDCl3
FC(C(C(F)(F)F)(Br)Br)(F)F,['-72.0'],"[['1', '5', '8', '9', '10', '11']]",CDCl3
BrC(C(C(F)(F)Br)(F)F)(F)F,"['-113.15', '-62.94']","[['6', '7'], ['8', '9', '10', '11']]",CDCl3
C(C(C(F)(F)C(F)(F)F)(Br)Br)(F)(F)F,"['-107.32', '-76.34', '-70.49']","[['9', '10'], ['12', '13', '14'], ['4', '5', '6']]",CDCl3
C(C(C(F)(Cl)F)(Br)Cl)(F)(F)F,"['-71.41', '-59.2', '-58.02']","[['4', '5', '6'], ['11'], ['10']]",CDCl3
C(C(C(C(C(F)(F)F)(F)F)(Cl)Cl)(F)F)(F)(F)F,"['-112.77', '-76.56']","[['8', '9', '10', '11'], ['12', '13', '14', '15', '16', '17']]",CDCl3
FC(C(Cl)(Cl)C(F)(F)F)(F)F,['-75.64'],"[['1', '5', '8', '9', '10', '11']]",CDCl3
C(F)(F)(F)OC(F)(F)[H],"['-86.08', '-58.04']","[['4', '8'], ['5', '6', '7']]",CDCl3
O(F)F,['249.0'],"[['2', '3']]",CDCl3
C1(C(F)(F)F)(C(O1)(F)F)F,"['-157.04', '-112.74', '-109.91', '-77.37']","[['10'], ['5'], ['6'], ['7', '8', '9']]",CDCl3
O(C(F)(F)F)C(F)(F)F,['-62.4'],"[['4', '5', '6', '7', '8', '9']]",CDCl3
O(C(F)(F)F)C(F)(F)C(F)(F)F,"['-91.2', '-87.6', '-56.2']","[['5', '6'], ['10', '11', '12'], ['7', '8', '9']]",CDCl3
O(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"['-89.4', '-88.4']","[['5', '6', '8', '9'], ['10', '11', '12', '13', '14', '15']]",CDCl3
N(F)(F)F,['146.9'],"[['2', '3', '4']]",CDCl3
N(F)(F)F,['141.6'],"[['2', '3', '4']]",Unreported
N(F)(F)F,['146.9'],"[['2', '3', '4']]",CFCl3
N(F)(C([H])([H])[H])C([H])([H])[H],['-24.5'],[['3']],CDCl3
N(N(F)F)(F)F,['59.8'],"[['3', '4', '5', '6']]",CDCl3
N(N(F)F)(F)F,['55.5'],"[['3', '4', '5', '6']]",Unreported
N(N(F)F)(F)F,['59.8'],"[['3', '4', '5', '6']]",CFCl3
C(C(N(F)F)([H])[H])([H])([H])[H],['52.0'],"[['4', '5']]",CDCl3
FC(C(C(N(F)F)(F)F)(F)F)(F)F,"['-127.35', '-116.57', '-81.81', '17.04']","[['10', '11'], ['8', '9'], ['1', '12', '13'], ['6', '7']]",CDCl3
FC(C(C(N(F)F)(F)F)(F)F)(F)F,"['-127.6', '-103.6', '-82.9', '15.5']","[['8', '9'], ['10', '11'], ['1', '12', '13'], ['6', '7']]",neat
C(N(C(F)(F)F)F)(F)(F)F,"['-87.5', '-71.1']","[['4'], ['5', '6', '7', '8', '9', '10']]",CFCl3
C(C(N(F)F)(F)C(F)(F)F)(F)(F)F,"['-172.0', '-76.8', '20.0']","[['6'], ['7', '8', '10', '11', '12', '13'], ['4', '5']]",CDCl3
C(N(C(F)(F)F)C(F)(F)F)(F)(F)F,['-55.7'],"[['5', '6', '7', '8', '9', '10', '11', '12', '13']]",neat
N(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)C(C(F)(F)F)(F)F,"['-89.2', '-81.7']","[['14', '15', '16', '17', '18', '19'], ['8', '9', '10', '11', '12', '13', '20', '21', '22']]",CDCl3
N(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(F)F,"['-96.4', '-84.9', '-53.4']","[['6', '7'], ['8', '9', '10'], ['11', '12', '13', '14', '15', '16']]",neat
S(C(F)(F)F)C(F)(F)F,['-36.84'],"[['4', '5', '6', '7', '8', '9']]",CFCl3
S(C(F)(F)F)[H],['-31.9'],"[['3', '4', '5']]",CFCl3
S(C(F)(F)F)[H],['-30.4'],"[['3', '4', '5']]",CH2Cl2
S(C(F)(F)F)(F)(F)F,"['-70.0', '-48.8', '51.2']","[['6', '7', '8'], ['3'], ['4', '5']]",CDCl3
S(C(F)(F)F)F,"['-351.0', '-56.6']","[['6'], ['3', '4', '5']]",CDCl3
C(S(F)(F)(F)(F)F)(F)(F)F,"['-66.2', '37.0', '61.3']","[['3', '4', '5'], ['6'], ['7', '8', '9', '10']]",SF6
C(C(C(O[H])([H])[H])(F)[H])(F)(F)F,"['-207.15', '-76.16']","[['8'], ['5', '6', '7']]",CDCl3
C(OC(C(F)(F)F)([H])[H])(OC(C(F)(F)F)([H])[H])(OC(C(F)(F)F)([H])[H])[H],['-76.4'],"[['11', '12', '13', '14', '15', '16', '17', '18', '19']]",CDCl3
C(C(OC(F)(F)C(F)(F)[H])([H])[H])(C(OC(F)(F)C(F)(F)[H])([H])[H])(C(OC(F)(F)C(F)(F)[H])([H])[H])C(OC(C(F)(F)[H])(F)F)([H])[H],"['-137.2', '-93.2']","[['26', '27', '28', '29', '30', '31', '32', '33'], ['11', '13', '14', '16', '18', '19', '24', '25']]",CDCl3
C(C(OC(F)(F)C(F)(F)F)(F)F)(C(OC(F)(F)C(F)(F)F)(F)F)(C(OC(F)(F)C(F)(F)F)(F)F)C(OC(C(F)(F)F)(F)F)(F)F,"['-88.3', '-87.19', '-65.4']","[['11', '13', '14', '16', '18', '19', '24', '25'], ['26', '27', '28', '29', '30', '31', '32', '33', '34', '39', '42', '43'], ['35', '36', '37', '38', '40', '41', '44', '45']]",neat
C(C(OC(F)(F)C(F)(F)F)(F)F)(C(OC(F)(F)C(F)(F)F)(F)F)(C(OC(F)(F)C(F)(F)F)(F)F)C(OC(C(F)(F)F)(F)F)(F)F,"['-88.1', '-87.0', '-65.1']","[['11', '13', '14', '16', '18', '19', '24', '25'], ['26', '27', '28', '29', '30', '31', '32', '33', '34', '39', '42', '43'], ['35', '36', '37', '38', '40', '41', '44', '45']]",CDCl3
C(C(F)(F)F)(=O)[O-].[K+],['-74.04'],"[['5', '6', '7']]",D2O
C(F)(F)(OC(C(F)(F)F)(F)[H])[H],"['-145.99', '-86.24', '-85.22', '-84.27']","[['7'], ['5'], ['6'], ['8', '9', '10']]",CDCl3
C(C(OC(C(F)(F)F)(F)[H])(F)[H])(F)(F)F,"['-149.1', '-84.01']","[['9', '10'], ['6', '7', '8', '11', '12', '13']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])OC(=C(F)F)F,"['-132.8', '-126.2', '-119.0']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])OC(C(F)(F)[H])(F)F,"['-136.1', '-86.6']","[['12', '13'], ['10', '11']]",CDCl3
C(C(C(F)(F)F)=C(F)F)(F)(F)F,"['-65.4', '-65.37']","[['5', '6', '7', '8', '9', '10'], ['11', '12']]",CDCl3
C(C(F)(F)F)(=C(F)F)F,"['-195.41', '-106.28', '-92.2', '-70.21']","[['9'], ['8'], ['7'], ['4', '5', '6']]",CDCl3
C(C(F)(F)F)(=C(F)F)F,"['-192.5', '-107.0', '-93.3', '-71.6']","[['9'], ['8'], ['7'], ['4', '5', '6']]",CFCl3
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,['-135.32'],"[['5', '6', '7', '8', '9', '10', '11', '12']]",CDCl3
C1(C(C(C1(F)F)(F)F)(F)OC2=C(C(=C(C(=C2[H])[H])C(C(C([H])([H])[H])(Br)[H])=O)[H])[H])(F)OC3=C(C(=C(C(=C3[H])[H])C(=O)C(C([H])([H])[H])(Br)[H])[H])[H],['-130.0'],"[['5', '6', '7', '8', '9', '10']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])C(C(C([H])([H])[H])(Br)[H])=O)[H])[H])OC(=C(F)F)F,"['-135.0', '-125.6', '-119.0']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])C2=C(C(=C(C(=C2[H])[H])OC(=C(F)F)F)[H])[H])[H])[H])OC(=C(F)F)F,"['-134.3', '-126.8', '-119.8']","[['19', '22'], ['20', '23'], ['21', '24']]",CDCl3
C1(C(C(C1(F)F)(C(F)(F)F)F)(C(F)(F)F)F)(F)F,"['-194.0', '-110.0', '-74.0']","[['13', '14'], ['15', '16', '17', '18'], ['7', '8', '9', '10', '11', '12']]",CDCl3
C1(C(C1(F)F)(F)F)(F)F,['-150.0'],"[['4', '5', '6', '7', '8', '9']]",CDCl3
C1(C(C1(F)F)(F)C(=O)O[H])(F)F,"['-181.47', '-120.56', '-119.83']","[['7'], ['5', '9'], ['4', '8']]",CDCl3
C1(C(C1(F)F)(C(F)(F)F)F)(F)F,"['-187.1', '-130.7', '-130.1', '-72.2']","[['6'], ['5', '9'], ['4', '8'], ['10', '11', '12']]",CDCl3
C(C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)(F)F,['-63.4'],"[['9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26']]",CDCl3
C(C(C(O[H])([H])[H])(F)F)(F)(F)[H],"['-139.6', '-127.68']","[['7', '8'], ['5', '6']]",CDCl3
[H]C(C(C(C(C(O[H])([H])[H])(F)F)(F)F)(F)F)(F)F,"['-137.33', '-129.58', '-124.91', '-121.24']","[['14', '15'], ['12', '13'], ['10', '11'], ['8', '9']]",CDCl3
C(C(F)(C(F)(F)[H])F)([H])([H])OS(Cl)(=O)=O,"['-137.18', '-123.31']","[['9', '10'], ['6', '7']]",CDCl3
C(C(F)(F)[H])(=O)OC([H])([H])[H],['-127.25'],"[['5', '6']]",CDCl3
C(C(F)(C(F)(F)[H])F)(=O)OC([H])([H])[H],"['-138.04', '-124.31']","[['9', '10'], ['6', '7']]",CDCl3
C(C(F)(C(F)(F)[H])F)([H])([H])OC(Cl)=O,"['-138.48', '-123.91']","[['9', '10'], ['6', '7']]",CDCl3
C(C(F)([H])C(F)(F)F)(=O)OC([H])([H])[H],"['-205.17', '-76.54']","[['6'], ['8', '9', '10']]","DMSO-D6, C2D6SO"
C(F)(F)(F)S(=O)(=O)OC(C(F)(F)C([H])(F)F)([H])[H],"['-136.93', '-123.67', '-74.32']","[['17', '18'], ['13', '14'], ['6', '7', '8']]",CDCl3
C(S(=O)(=O)OC(C(F)(F)C([H])(F)F)([H])[H])([H])([H])[H],"['-137.94', '-124.29']","[['17', '18'], ['13', '14']]",CDCl3
C1(=C(C(=C(C(C(F)(F)F)=N1)[H])[H])[H])C(F)(F)F,['-67.8'],"[['9', '10', '11', '12', '13', '14']]",CDCl3
C=1(C(=C(C(=C(N1)[H])C(F)(F)F)[H])C(F)(F)F)[H],['-62.3'],"[['8', '9', '10', '12', '13', '14']]",CDCl3
C1(=C(C(=NC(=C1[H])C(F)(F)F)[H])[H])[H],['-67.5'],"[['8', '9', '10']]",CDCl3
C1(=C(C(=NC(=C1C(F)(F)F)[H])[H])[H])[H],['-62.1'],"[['8', '9', '10']]",CDCl3
C1(=C(C(=NC(=C1[H])[H])[H])[H])C(F)(F)F,['-64.5'],"[['8', '9', '10']]",CDCl3
C1(=C(C(=C(C(C1(C(F)(F)F)[H])([H])[H])[H])[H])[H])[H],['-73.0'],"[['8', '9', '10']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])N([H])[H])[H])[H])OC(=C(F)F)F,"['-132.7', '-127.9', '-120.8']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])[N+]([O-])=O)[H])[H])OC(=C(F)F)F,"['-135.4', '-124.3', '-117.7']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])C#C[H])[H])[H])OC(=C(F)F)F,"['-134.3', '-125.6', '-119.2']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])I)[H])[H])OC(=C(F)F)F,"['-134.3', '-125.8', '-119.0']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])O[H])[H])[H])OC(=C(F)F)F,"['-133.5', '-127.7', '-120.6']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])C(=C([H])[H])[H])[H])[H])OC(=C(F)F)F,"['-133.7', '-126.4', '-119.6']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])C(O[H])=O)[H])[H])OC(=C(F)F)F,"['-134.6', '-125.0', '-118.3']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])OC([H])([H])[H])[H])[H])OC(=C(F)F)F,"['-133.3', '-127.3', '-120.3']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])B(O[H])O[H])[H])[H])OC(=C(F)F)F,"['-134.1', '-125.7', '-118.9']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])[Sn](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])[H])OC(=C(F)F)F,"['-133.6', '-126.6', '-119.8']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])C(=O)[H])[H])[H])OC(=C(F)F)F,"['-134.7', '-124.8', '-118.1']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])N=C=O)[H])[H])OC(=C(F)F)F,"['-134.3', '-126.2', '-119.3']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])C(=O)OC(C([H])([H])[H])([H])[H])[H])[H])OC(=C(F)F)F,"['-134.5', '-125.3', '-118.6']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])C(=O)[N-][N+]#N)[H])[H])OC(=C(F)F)F,"['-134.7', '-124.8', '-118.4']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])N(C(=O)C(C([H])([H])[H])([H])[H])[H])[H])[H])OC(=C(F)F)F,"['-133.7', '-127.0', '-120.1']","[['10'], ['11'], ['12']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])C(P(=O)(OC(C([H])([H])[H])([H])[H])OC(C([H])([H])[H])([H])[H])([H])[H])[H])[H])OC(=C(F)F)F,"['-133.8', '-126.6', '-119.7']","[['10'], ['11'], ['12']]",CDCl3
FC(C(C(C(C(F)(F)F)(F)F)(F)F)(Cl)Cl)(F)F,"['-121.42', '-110.33', '-81.13', '-74.03']","[['13', '14'], ['11', '12'], ['15', '16', '17'], ['1', '7', '8']]",CDCl3
C(C(C(C(C(F)(F)F)(F)F)(F)F)(Br)Br)(F)(F)F,"['-120.39', '-104.06', '-81.32', '-70.31']","[['12', '13'], ['10', '11'], ['6', '14', '15'], ['7', '8', '9']]",CDCl3
FC(C(C(C(C(Br)(F)F)(F)F)(Br)Br)(F)F)(F)F,"['-106.11', '-95.78', '-75.21', '-55.81']","[['9', '10'], ['14', '15'], ['1', '7', '8'], ['16', '17']]",CDCl3
C(C(C(Cl)(F)F)(F)Cl)(Br)(F)F,"['-124.6', '-62.04', '-58.04']","[['8'], ['10', '11'], ['6', '7']]",CDCl3
C(C(C(C(F)(F)F)(F)F)(Br)Cl)(F)(F)F,"['-110.41', '-76.81', '-72.35']","[['11', '12'], ['5', '13', '14'], ['6', '7', '8']]",CDCl3
FC(C(C(F)(Br)Cl)(F)F)(F)F,"['-116.28', '-77.28', '-73.39']","[['7', '8'], ['1', '5', '6'], ['9']]",CDCl3
C(F)(F)(OC(C(F)(F)F)(Cl)[H])[H],"['-87.17', '-80.45']","[['5', '6'], ['7', '8', '9']]",CDCl3
C(F)(F)(OC(C(F)(F)F)([H])[H])[H],"['-86.27', '-74.9']","[['5', '6'], ['7', '8', '9']]",CDCl3
